Date, Waste 
2019-02-06,0.00
2019-02-07,0.00
2019-02-08,0.00
2019-02-09,0.00
2019-02-10,0.00
2019-02-11,0.00
2019-02-12,1.12
2019-02-13,0.00
2019-02-14,0.00
2019-02-15,0.00
2019-02-16,1.56
2019-02-17,6.62
2019-02-18,17.00
2019-02-19,4.91
2019-02-20,7.33
2019-02-21,0.35
2019-02-22,0.00
2019-02-23,0.00
2019-02-24,0.00
2019-02-25,0.00
2019-02-26,0.00
2019-02-27,0.00
2019-02-28,0.00
2019-03-01,0.00
2019-03-02,0.00
2019-03-03,0.00
2019-03-04,0.00
2019-03-05,0.00
2019-03-06,0.00
2019-03-07,0.03
2019-03-08,0.00
2019-03-09,1.74
2019-03-10,12.60
2019-03-11,5.46
2019-03-12,2.05
2019-03-13,0.00
2019-03-14,0.94
2019-03-15,11.94
2019-03-16,0.00
2019-03-17,0.00
2019-03-18,0.00
2019-03-19,0.00
2019-03-20,0.00
2019-03-21,0.00
2019-03-22,0.00
2019-03-23,0.00
2019-03-24,10.78
2019-03-25,7.54
2019-03-26,8.77
2019-03-27,7.55
2019-03-28,0.00
2019-03-29,4.18
2019-03-30,0.00
2019-03-31,0.00
2019-04-01,0.00
2019-04-02,0.00
2019-04-03,0.00
2019-04-04,0.00
2019-04-05,0.00
2019-04-06,0.00
2019-04-07,0.00
2019-04-08,0.00
2019-04-09,0.00
2019-04-10,11.46
2019-04-11,11.17
2019-04-12,3.41
2019-04-13,1.27
2019-04-14,4.11
2019-04-15,0.00
2019-04-16,0.00
2019-04-17,0.00
2019-04-18,0.00
2019-04-19,0.00
2019-04-20,0.00
2019-04-21,0.00
2019-04-22,0.78
2019-04-23,0.00
2019-04-24,0.00
2019-04-25,0.00
2019-04-26,7.60
2019-04-27,0.27
2019-04-28,9.35
2019-04-29,9.63
2019-04-30,0.00
2019-05-01,0.00
2019-05-02,0.00
2019-05-03,0.00
2019-05-04,0.00
2019-05-05,0.00
2019-05-06,0.00
2019-05-07,0.00
2019-05-08,1.05
2019-05-09,0.82
2019-05-10,0.00
2019-05-11,0.00
2019-05-12,7.78
2019-05-13,0.00
2019-05-14,0.00
2019-05-15,0.00
2019-05-16,0.00
2019-05-17,0.00
2019-05-18,0.00
2019-05-19,0.00
2019-05-20,0.00
2019-05-21,5.98
2019-05-22,16.80
2019-05-23,0.00
2019-05-24,2.63
2019-05-25,0.00
2019-05-26,0.00
2019-05-27,0.00
2019-05-28,0.00
2019-05-29,0.00
2019-05-30,0.00
2019-05-31,0.00
2019-06-01,0.00
2019-06-02,0.59
2019-06-03,0.00
2019-06-04,13.44
2019-06-05,0.00
2019-06-06,5.17
2019-06-07,3.47
2019-06-08,7.44
2019-06-09,0.00
2019-06-10,0.00
2019-06-11,0.00
2019-06-12,0.00
2019-06-13,0.00
2019-06-14,0.00
2019-06-15,0.00
2019-06-16,0.00
2019-06-17,0.00
2019-06-18,0.00
2019-06-19,0.00
2019-06-20,0.00
2019-06-21,0.00
2019-06-22,0.00
2019-06-23,0.00
2019-06-24,0.00
2019-06-25,0.00
2019-06-26,0.00
2019-06-27,0.00
2019-06-28,3.29
2019-06-29,9.41
2019-06-30,11.29
2019-07-01,0.00
2019-07-02,0.00
2019-07-03,0.00
2019-07-04,4.17
2019-07-05,0.00
2019-07-06,10.45
2019-07-07,0.00
2019-07-08,0.00
2019-07-09,0.00
2019-07-10,10.94
2019-07-11,10.66
2019-07-12,0.79
2019-07-13,0.84
2019-07-14,0.00
2019-07-15,0.00
2019-07-16,0.00
2019-07-17,0.00
2019-07-18,3.43
2019-07-19,8.65
2019-07-20,6.13
2019-07-21,12.05
2019-07-22,12.21
2019-07-23,7.82
2019-07-24,8.29
2019-07-25,1.91
2019-07-26,4.49
2019-07-27,0.00
2019-07-28,0.00
2019-07-29,2.13
2019-07-30,0.00
2019-07-31,1.32
2019-08-01,9.21
2019-08-02,0.00
2019-08-03,0.00
2019-08-04,0.00
2019-08-05,0.00
2019-08-06,0.00
2019-08-07,0.00
2019-08-08,0.00
2019-08-09,0.00
2019-08-10,0.00
2019-08-11,0.00
2019-08-12,0.00
2019-08-13,0.00
2019-08-14,0.00
2019-08-15,0.00
2019-08-16,0.00
2019-08-17,0.00
2019-08-18,3.81
2019-08-19,12.92
2019-08-20,0.00
2019-08-21,0.00
2019-08-22,2.92
2019-08-23,7.02
2019-08-24,5.79
2019-08-25,0.00
2019-08-26,0.00
2019-08-27,0.00
2019-08-28,0.00
2019-08-29,0.00
2019-08-30,0.00
2019-08-31,3.91
2019-09-01,3.67
2019-09-02,0.00
2019-09-03,0.00
2019-09-04,0.00
2019-09-05,10.44
2019-09-06,4.14
2019-09-07,2.10
2019-09-08,3.68
2019-09-09,0.00
2019-09-10,0.00
2019-09-11,0.00
2019-09-12,0.00
2019-09-13,0.00
2019-09-14,0.00
2019-09-15,0.00
2019-09-16,0.00
2019-09-17,0.00
2019-09-18,0.00
2019-09-19,0.00
2019-09-20,0.00
2019-09-21,0.00
2019-09-22,0.00
2019-09-23,0.00
2019-09-24,0.00
2019-09-25,0.00
2019-09-26,0.93
2019-09-27,0.00
2019-09-28,0.00
2019-09-29,0.00
2019-09-30,7.25
2019-10-01,1.96
2019-10-02,0.00
2019-10-03,0.00
2019-10-04,0.00
2019-10-05,0.00
2019-10-06,0.00
2019-10-07,0.00
2019-10-08,2.04
2019-10-09,10.51
2019-10-10,0.00
2019-10-11,11.17
2019-10-12,0.00
2019-10-13,0.00
2019-10-14,0.00
2019-10-15,0.00
2019-10-16,0.00
2019-10-17,1.00
2019-10-18,3.02
2019-10-19,0.00
2019-10-20,1.34
2019-10-21,1.20
2019-10-22,0.00
2019-10-23,0.00
2019-10-24,8.12
2019-10-25,2.92
2019-10-26,0.00
2019-10-27,0.00
2019-10-28,0.00
2019-10-29,0.00
2019-10-30,0.00
2019-10-31,0.00
2019-11-01,2.86
2019-11-02,7.97
2019-11-03,11.70
2019-11-04,4.84
2019-11-05,0.00
2019-11-06,0.86
2019-11-07,0.00
2019-11-08,0.00
2019-11-09,0.00
2019-11-10,0.00
2019-11-11,0.00
2019-11-12,0.00
2019-11-13,0.00
2019-11-14,0.00
2019-11-15,0.00
2019-11-16,0.00
2019-11-17,0.00
2019-11-18,0.00
2019-11-19,1.22
2019-11-20,7.58
2019-11-21,0.00
2019-11-22,0.37
2019-11-23,0.00
2019-11-24,0.00
2019-11-25,0.00
2019-11-26,1.72
2019-11-27,4.43
2019-11-28,0.00
2019-11-29,0.00
2019-11-30,0.00
2019-12-01,0.00
2019-12-02,0.00
2019-12-03,0.00
2019-12-04,0.00
2019-12-05,0.00
2019-12-06,0.00
2019-12-07,0.00
2019-12-08,0.00
2019-12-09,1.08
2019-12-10,0.00
2019-12-11,0.00
2019-12-12,9.73
2019-12-13,7.91
2019-12-14,0.00
2019-12-15,0.00
2019-12-16,0.00
2019-12-17,0.00
2019-12-18,0.00
2019-12-19,0.00
2019-12-20,0.00
2019-12-21,0.00
2019-12-22,0.00
2019-12-23,0.00
2019-12-24,0.00
2019-12-25,0.00
2019-12-26,0.00
2019-12-27,0.00
2019-12-28,0.00
2019-12-29,0.00
2019-12-30,0.00
2019-12-31,0.00
2020-01-01,0.00
2020-01-02,0.00
2020-01-03,0.00
2020-01-04,0.00
2020-01-05,0.00
2020-01-06,0.00
2020-01-07,0.00
2020-01-08,0.00
2020-01-09,0.00
2020-01-10,0.00
2020-01-11,0.95
2020-01-12,0.05
2020-01-13,0.00
2020-01-14,0.00
2020-01-15,0.00
2020-01-16,0.00
2020-01-17,0.00
2020-01-18,0.00
2020-01-19,8.51
2020-01-20,3.25
2020-01-21,0.00
2020-01-22,0.00
2020-01-23,2.08
2020-01-24,0.00
2020-01-25,0.00
2020-01-26,0.00
2020-01-27,0.00
2020-01-28,0.00
2020-01-29,0.00
2020-01-30,0.00
2020-01-31,0.00
2020-02-01,0.00
2020-02-02,0.00
2020-02-03,0.00
2020-02-04,0.00
2020-02-05,0.00
2020-02-06,0.00
2020-02-07,0.00
2020-02-08,0.00
2020-02-09,0.00
2020-02-10,2.14
2020-02-11,0.00
2020-02-12,4.06
2020-02-13,0.00
2020-02-14,9.87
2020-02-15,0.00
2020-02-16,3.09
2020-02-17,0.00
2020-02-18,5.17
2020-02-19,0.00
2020-02-20,0.00
2020-02-21,0.00
2020-02-22,0.00
2020-02-23,0.00
2020-02-24,0.00
2020-02-25,6.51
2020-02-26,0.00
2020-02-27,1.75
2020-02-28,6.46
2020-02-29,5.46
2020-03-01,11.23
2020-03-02,0.88
2020-03-03,13.98
2020-03-04,8.26
2020-03-05,0.00
2020-03-06,0.00
2020-03-07,0.00
2020-03-08,0.00
2020-03-09,0.00
2020-03-10,0.00
2020-03-11,0.00
2020-03-12,0.00
2020-03-13,0.86
2020-03-14,0.00
2020-03-15,0.00
2020-03-16,0.00
2020-03-17,0.00
2020-03-18,1.86
2020-03-19,3.01
2020-03-20,2.24
2020-03-21,0.00
2020-03-22,0.00
2020-03-23,0.00
2020-03-24,0.00
2020-03-25,0.00
2020-03-26,0.00
2020-03-27,0.00
2020-03-28,0.00
2020-03-29,0.00
2020-03-30,0.00
2020-03-31,0.00
2020-04-01,0.00
2020-04-02,8.63
2020-04-03,0.00
2020-04-04,6.60
2020-04-05,2.71
2020-04-06,5.99
2020-04-07,0.00
2020-04-08,0.00
2020-04-09,0.00
2020-04-10,0.00
2020-04-11,0.00
2020-04-12,0.00
2020-04-13,0.00
2020-04-14,0.00
2020-04-15,0.00
2020-04-16,0.00
2020-04-17,0.00
2020-04-18,0.00
2020-04-19,0.00
2020-04-20,0.00
2020-04-21,0.00
2020-04-22,10.02
2020-04-23,0.00
2020-04-24,5.12
2020-04-25,0.00
2020-04-26,0.00
2020-04-27,2.18
2020-04-28,5.57
2020-04-29,0.00
2020-04-30,0.00
2020-05-01,0.00
2020-05-02,6.62
2020-05-03,0.00
2020-05-04,7.19
2020-05-05,5.09
2020-05-06,10.05
2020-05-07,9.64
2020-05-08,0.00
2020-05-09,0.00
2020-05-10,2.99
2020-05-11,0.00
2020-05-12,0.33
2020-05-13,8.90
2020-05-14,0.00
2020-05-15,0.00
2020-05-16,0.00
2020-05-17,0.00
2020-05-18,0.00
2020-05-19,0.00
2020-05-20,0.00
2020-05-21,0.00
2020-05-22,0.00
2020-05-23,2.28
2020-05-24,0.00
2020-05-25,0.00
2020-05-26,0.00
2020-05-27,0.58
2020-05-28,0.00
2020-05-29,15.18
2020-05-30,4.17
2020-05-31,0.00
2020-06-01,0.00
2020-06-02,0.00
2020-06-03,0.00
2020-06-04,0.00
2020-06-05,0.00
2020-06-06,0.00
2020-06-07,0.00
2020-06-08,0.00
2020-06-09,0.00
2020-06-10,0.00
2020-06-11,0.00
2020-06-12,0.00
2020-06-13,0.00
2020-06-14,0.00
2020-06-15,0.00
2020-06-16,0.00
2020-06-17,0.00
2020-06-18,10.75
2020-06-19,10.63
2020-06-20,14.21
2020-06-21,12.60
2020-06-22,5.66
2020-06-23,2.20
2020-06-24,6.29
2020-06-25,1.34
2020-06-26,0.00
2020-06-27,0.00
2020-06-28,1.36
2020-06-29,0.00
2020-06-30,0.00
2020-07-01,0.00
2020-07-02,2.74
2020-07-03,2.23
2020-07-04,6.80
2020-07-05,0.00
2020-07-06,6.34
2020-07-07,6.63
2020-07-08,0.94
2020-07-09,10.85
2020-07-10,13.86
2020-07-11,0.00
2020-07-12,0.00
2020-07-13,0.00
2020-07-14,0.00
2020-07-15,0.00
2020-07-16,0.00
2020-07-17,0.00
2020-07-18,0.00
2020-07-19,0.00
2020-07-20,0.00
2020-07-21,0.00
2020-07-22,0.00
2020-07-23,0.00
2020-07-24,0.00
2020-07-25,15.20
2020-07-26,0.01
2020-07-27,13.49
2020-07-28,0.00
2020-07-29,10.29
2020-07-30,10.67
2020-07-31,5.05
2020-08-01,0.00
2020-08-02,0.00
2020-08-03,0.00
2020-08-04,0.00
2020-08-05,0.00
2020-08-06,0.00
2020-08-07,0.00
2020-08-08,0.00
2020-08-09,0.00
2020-08-10,0.00
2020-08-11,0.00
2020-08-12,0.00
2020-08-13,0.00
2020-08-14,0.00
2020-08-15,0.00
2020-08-16,0.00
2020-08-17,0.00
2020-08-18,0.00
2020-08-19,0.00
2020-08-20,0.00
2020-08-21,0.00
2020-08-22,0.00
2020-08-23,0.00
2020-08-24,3.83
2020-08-25,7.41
2020-08-26,0.00
2020-08-27,0.00
2020-08-28,0.00
2020-08-29,1.63
2020-08-30,6.81
2020-08-31,5.37
2020-09-01,0.00
2020-09-02,5.13
2020-09-03,6.69
2020-09-04,0.00
2020-09-05,0.00
2020-09-06,0.00
2020-09-07,1.52
2020-09-08,2.55
2020-09-09,10.47
2020-09-10,0.24
2020-09-11,5.45
2020-09-12,8.35
2020-09-13,7.54
2020-09-14,0.00
2020-09-15,0.00
2020-09-16,0.00
2020-09-17,0.00
2020-09-18,0.00
2020-09-19,0.00
2020-09-20,0.00
2020-09-21,0.00
2020-09-22,0.00
2020-09-23,0.00
2020-09-24,3.26
2020-09-25,17.14
2020-09-26,0.00
2020-09-27,0.00
2020-09-28,7.94
2020-09-29,0.00
2020-09-30,0.00
2020-10-01,0.00
2020-10-02,0.00
2020-10-03,0.00
2020-10-04,0.00
2020-10-05,0.99
2020-10-06,10.37
2020-10-07,2.82
2020-10-08,3.51
2020-10-09,0.00
2020-10-10,2.39
2020-10-11,12.18
2020-10-12,0.00
2020-10-13,2.07
2020-10-14,8.88
2020-10-15,1.08
2020-10-16,7.11
2020-10-17,0.00
2020-10-18,10.12
2020-10-19,0.00
2020-10-20,0.00
2020-10-21,2.95
2020-10-22,5.67
2020-10-23,11.92
2020-10-24,5.65
2020-10-25,5.05
2020-10-26,2.35
2020-10-27,9.48
2020-10-28,1.06
2020-10-29,0.00
2020-10-30,7.55
2020-10-31,0.00
2020-11-01,0.00
2020-11-02,2.62
2020-11-03,5.29
2020-11-04,0.00
2020-11-05,0.00
2020-11-06,0.42
2020-11-07,11.04
2020-11-08,0.00
2020-11-09,0.00
2020-11-10,4.30
2020-11-11,0.00
2020-11-12,0.00
2020-11-13,0.00
2020-11-14,5.92
2020-11-15,0.00
2020-11-16,0.00
2020-11-17,0.00
2020-11-18,0.00
2020-11-19,0.00
2020-11-20,0.00
2020-11-21,0.00
2020-11-22,0.00
2020-11-23,0.00
2020-11-24,0.00
2020-11-25,0.00
2020-11-26,0.00
2020-11-27,0.00
2020-11-28,0.00
2020-11-29,0.00
2020-11-30,0.00
2020-12-01,0.00
2020-12-02,0.00
2020-12-03,0.00
2020-12-04,0.00
2020-12-05,0.00
2020-12-06,0.00
2020-12-07,3.22
2020-12-08,3.02
2020-12-09,0.00
2020-12-10,0.00
2020-12-11,0.00
2020-12-12,0.00
2020-12-13,0.00
2020-12-14,0.00
2020-12-15,0.00
2020-12-16,1.16
2020-12-17,3.35
2020-12-18,0.00
2020-12-19,0.00
2020-12-20,0.00
2020-12-21,7.14
2020-12-22,0.00
2020-12-23,0.00
2020-12-24,0.00
2020-12-25,0.00
2020-12-26,0.00
2020-12-27,0.00
2020-12-28,0.00
2020-12-29,0.00
2020-12-30,0.00
2020-12-31,0.00
2021-01-01,0.00
2021-01-02,0.00
2021-01-03,0.00
2021-01-04,0.00
2021-01-05,0.00
2021-01-06,0.00
2021-01-07,0.00
2021-01-08,0.92
2021-01-09,15.93
2021-01-10,0.00
2021-01-11,0.00
2021-01-12,0.00
2021-01-13,0.00
2021-01-14,0.00
2021-01-15,0.00
2021-01-16,0.00
2021-01-17,0.00
2021-01-18,0.00
2021-01-19,7.41
2021-01-20,0.00
2021-01-21,2.44
2021-01-22,5.33
2021-01-23,11.21
2021-01-24,0.20
2021-01-25,0.52
2021-01-26,8.81
2021-01-27,0.54
2021-01-28,0.00
2021-01-29,0.00
2021-01-30,0.00
2021-01-31,0.00
2021-02-01,11.88
2021-02-02,0.00
2021-02-03,0.00
2021-02-04,0.00
2021-02-05,0.00
2021-02-06,6.67
2021-02-07,0.00
